DIA,LINEA,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,TOTAL
4/1/2023,LÍNEA H,147,341,286,191,127,115,107,106,114,71,63,63,87,63,61,45,27,10,7,,"2,031"
4/1/2023,LÍNEA J,923,"1,693","1,785","1,477","1,031",845,698,807,792,571,619,562,696,812,616,428,286,177,42,37,"14,897"
4/1/2023,LÍNEA K,"1,770","2,516","2,425","1,961","1,354","1,204","1,136","1,187","1,374","1,143","1,203","1,222","1,418","1,537","1,158",805,640,329,127,3,"24,512"
4/1/2023,LÍNEA L,,,,,,414,508,686,815,664,753,617,688,588,7,,,,,29,"5,769"
4/1/2023,LÍNEA M,221,537,659,444,266,267,234,266,302,253,317,428,596,747,963,563,410,294,289,27,"8,083"
4/1/2023,LÍNEA O,208,609,974,817,515,424,383,448,394,362,500,558,784,890,678,545,384,409,204,,"10,086"
4/1/2023,LÍNEA P,922,"1,798","2,184","1,541",867,725,712,667,811,654,656,638,633,955,638,615,472,234,112,7,"15,841"
4/1/2023,LÍNEA T-A,855,"2,237","3,196","2,668","1,960","1,700","1,733","1,783","1,915","1,870","2,230","2,568","3,109","4,118","3,721","2,480","1,837","1,346","1,033",,"42,359"
5/1/2023,LÍNEA 1,"2,124","5,279","7,541","6,802","4,614","4,207","3,774","3,742","3,676","3,648","4,738","4,791","6,183","7,994","6,427","4,052","2,933","2,437","1,414",57,"86,433"
5/1/2023,LÍNEA 2,107,516,747,791,717,775,790,877,849,833,"1,022","1,257","1,568","1,808","1,495",970,673,384,162,5,"16,346"
5/1/2023,LÍNEA A,"12,001","29,136","40,713","34,767","23,235","21,415","21,248","21,678","23,216","22,772","29,776","31,566","45,072","59,914","46,132","28,507","19,866","16,083","9,728",,"536,825"
5/1/2023,LÍNEA B,"2,368","4,811","6,286","5,523","3,998","3,594","3,835","3,889","4,118","3,917","4,538","4,665","6,136","8,000","6,205","3,769","2,575","1,932","1,091",,"81,250"
5/1/2023,LÍNEA H,153,334,285,211,140,115,123,87,111,79,63,86,59,61,51,37,31,14,4,,"2,044"
5/1/2023,LÍNEA J,531,"1,738","1,806","1,524","1,121",886,767,758,749,574,644,599,634,596,476,376,284,151,43,56,"14,313"
5/1/2023,LÍNEA K,"1,892","2,578","2,488","1,978","1,384","1,185","1,110","1,203","1,314","1,120","1,234","1,303","1,445","1,419",855,712,584,319,82,6,"24,211"
5/1/2023,LÍNEA L,,,,,,446,596,621,773,711,679,750,669,325,,,,,,33,"5,603"
5/1/2023,LÍNEA M,240,529,644,460,310,239,247,251,258,264,333,430,526,676,872,609,372,260,253,34,"7,807"
5/1/2023,LÍNEA O,172,670,"1,038",775,525,473,392,424,402,352,499,565,762,811,695,509,415,411,201,,"10,091"
5/1/2023,LÍNEA P,930,"1,890","2,181","1,585",953,715,695,589,790,624,609,622,697,780,592,521,464,180,99,6,"15,522"
